index,h3,population,n_tram_stops,n_new_airbnbs
156,881ea201c1fffff,30.0,0,0
157,881ea20119fffff,586.0,0,0
158,881ea20189fffff,80.0,0,1
159,881ea201c7fffff,621.0,0,1
160,881ea201c3fffff,292.0,0,0
161,881ea20153fffff,306.0,0,0
162,881ea2002dfffff,614.0,0,0
163,881ea20029fffff,665.0,0,0
164,881ea20067fffff,108.0,0,2
165,881ea20321fffff,449.0,0,0
166,881ea2033dfffff,61.0,0,0
167,881ea2032bfffff,67.0,0,0
168,881ea20063fffff,27.0,0,0
169,881ea20061fffff,506.0,0,1
170,881ea20339fffff,18.0,0,0
