id,Name,Host Name,Host Listings Count,status,Previous Listing Name,Previous Host Name,Previous Host Listings Count,latitude,longitude,total_listing_bin
1389849355267687677,LVL2 By MMega,Edoardo,404,New,,,0.0,43.7722809,11.2610098,50+
1389853745594118675,Da Vinci Suite - Florence Dolce Vita,Tommaso,12,New,,,0.0,43.78364112342755,11.263796280273418,5-50
1389853975505027122,Villino Stella,Lorenzo E Lorenzo,16,New,,,0.0,43.7793,11.29989,5-50
1389858434402395871,Ghibellina Attic,Chiara,15,New,,,0.0,43.7695916,11.2648719,5-50
1389874926067262674,In Sant' Ambrogio,Ximena,4,New,,,0.0,43.77341110171686,11.263961322810474,2-5
1389879315918650154,"Audrey, balcone, camera, angolo cottura",Federico,15,New,,,0.0,43.78080773898685,11.243890454891408,5-50
1389921179917187215,3 Gigli Florence Appartamento 1,Mattia,5,New,,,0.0,43.77048,11.24235,5-50
1389971797733470562,14th Century Boutique Apartment,Franco,2,New,,,0.0,43.77145,11.256438,2-5
1389977566688392139,Cozy Haven [Puccini - Manifattura Tabacchi],Erika,25,New,,,0.0,43.78732,11.22621,5-50
1389997606371027200,Ava Deluxe Apartment in Florence,Nasser,5,New,,,0.0,43.78105524560715,11.26396687851236,5-50
1390015320717440065,Lenny Deluxe Apartment in Florence,Nasser,5,New,,,0.0,43.77963,11.26242,5-50
1390021449579566863,Casa Eleonora Monolocale con Balcone,Aram,4,New,,,0.0,43.77856,11.29213,2-5
1390376486425326154,Cozy & Charming Florentine Hideaway by Oteego,Sea N' Rent,33,New (from previous),Beautiful Apartment Next Duomo,Rachelle Khriseth,470.0,43.7744544,11.2582229,5-50
1390448175033315322,Keys of Italy-VignaBlu-Newly Renovated Central 3BR,Gessjca E Luca,72,New,,,0.0,43.7710743,11.2481482,50+
1390472744097181630,"Marilyn, appartamento con sala, camera, cucinino.",Federico,15,New,,,0.0,43.7799816,11.2431986,5-50
1390531267987396525,Appartamento esclusivo Piazza De' Pitti Firenze,Rentalo,6,New,,,0.0,43.76472,11.25063,5-50
1390538394540661646,"Pepi 51, Modern Design in the Heart of Santa Croce",Antonino,11,New,,,0.0,43.7720261,11.263787,5-50
1390551369704664980,"Liz, appartamento con Balcone e cucina",Federico,15,New,,,0.0,43.7799816,11.2431986,5-50
1390560545088563630,Orsini Apartment with balcony and parking,Giulio,66,New,,,0.0,43.76266,11.27508,50+
1390568919066509538,NiNNi 12 Apt,Laura,18,New,,,0.0,43.7684939,11.241083,5-50
1391084451837556902,La terrazza di San Salvi,Elena,1,New,,,0.0,43.77239,11.28638,1
1391091280288133237,Authentic 2 steps from the center,Stefania,10,New,,,0.0,43.767534,11.2725362,5-50
1391107902617193899,Vigna Nuova First Floor,Istay,187,New,,,0.0,43.771502833830205,11.250637726778823,50+
1391110264572892013,Cozy Studio in Oltrarno Area,Chiara,20,New,,,0.0,43.7641183487288,11.24743013434614,5-50
1391112218390702265,Boboli Elegant Suite with a Lift,Marina,19,New,,,0.0,43.76000190398069,11.241689175367355,5-50
1391147491773429313,Sant'Ambrogio Vibes - Florence Lovely Apartment,Francesco,612,New,,,0.0,43.7727307,11.2688359,50+
1391168207246969113,Centro Storico Firenze Santa Croce Wi Fi Free,Rentalo,6,New,,,0.0,43.76971,11.26604,5-50
1391208085652887252,The Florentine Backpacker,Daniele,91,New,,,0.0,43.76506819999999,11.2447553,50+
1391267931827414035,"Holiday AD Rondinelli, Firenze",Anna,5,New,,,0.0,43.77213,11.25343,5-50
1391272773876677788,florence tropical suite,Matteo,5,New,,,0.0,43.7794097,11.2675335,5-50
1391809919895380886,NEW Luxury 2-bedroom & 2-bathroom @ Duomo,Andrea,4,New,,,0.0,43.77650362189048,11.255791991954412,2-5
1391832818852683014,Maison D'Alice Centro Storico Sant'Ambrogio,Mathieu,3,New,,,0.0,43.76955,11.27061,2-5
1391837107258739448,Contemporary apartment,Alessandro,36,New,,,0.0,43.7637748,11.2700773,5-50
1391842938999234384,Bilocale con terrazza e park,Stefano,1,New,,,0.0,43.79477097142883,11.191379986703396,1
1391852737485084922,NEW Luxury 1-bedroom & 2-bathroom @ Duomo,Andrea,4,New,,,0.0,43.775403905475365,11.255644440537925,2-5
1391864736226260655,Il Pozzo dei Desideri Firenze,Michael,1525,New,,,0.0,43.7449,11.28453,50+
1391888223339335317,Orsanmichele Suite,Lorenzo,175,New,,,0.0,43.77053189999999,11.2549649,50+
1391893347028319860,[Santa Croce] Stylish Apartment,Tommaso,9,New,,,0.0,43.77046,11.26129,5-50
1391901224063834321,[Sant'Ambrogio] Oasis Apartment,Tommaso,9,New,,,0.0,43.77634238523044,11.26609221337793,5-50
1391946435039081204,Quintino Sella By MMega,Edoardo,404,New,,,0.0,43.7670256,11.2847809,50+
1391953746156367159,Residenza Pinzochere,Istay,187,New,,,0.0,43.769172,11.2631797,50+
1391953749871312506,Ghibellina House,Istay,187,New,,,0.0,43.7692439,11.2670896,50+
1391990122708572467,Brand new apartment in the hearth of Florence,Edoardo,404,New,,,0.0,43.7724679,11.2622431,50+
1391996795269062641,Ponte Vecchio Terrace Suite with Jacuzzi,Lorenzo,175,New,,,0.0,43.7676218,11.252153,50+
1392001633225038254,Casa Carolina By MMega,Edoardo,404,New,,,0.0,43.7687089,11.2420431,50+
1392548605770836949,Casa Poggi-Duomo-Piazza Signoria,Federica,7,New,,,0.0,43.781624,11.2537954,5-50
1392573118507069324,Florentia house,Enrico E Linda,1,New,,,0.0,43.77375355408413,11.23264793868671,1
1392580742470053222,La Dimora di San Frediano - Florence,Leonardo,41,New,,,0.0,43.7716202,11.2343536,5-50
1392701816409156782,GuestHost - Dimora Ponte Vecchio Lovely Apartment,Francesco,612,New,,,0.0,43.7670499,11.251806,50+
1392718251476542350,"[Heart of Ognissanti], 10 mins from Ponte Vecchio",Antonino,11,New,,,0.0,43.7731421,11.2445286,5-50
1392764683565853826,Benvenuti al BorgoHome !,Silvia,1,New,,,0.0,43.76959,11.21007,1
1392982812332425965,[2 Min from Metro Batoni] Apt with Parking Space,Gregorio,76,New (from previous),Modern apartments in Florence,Nataliia,1.0,43.7737948,11.2240047,50+
1393265031634019499,Firenze Contemporanea,Valentina,1,New,,,0.0,43.7865082,11.2232384,1
1393374729080496651,Enchanting Florence,Tatiana Ivanovna,2,New,,,0.0,43.76683225440386,11.280584301510848,2-5
1393496799450547584,Impressive renaissance residence w/lift,Easy BNB,19,New,,,0.0,43.7676624,11.2592207,5-50
1393636155001847431,Romana 72 - Charming Apartment [Boboli],Giovanni,1,New,,,0.0,43.7623654,11.2431619,1
