host_id,n_listings,host_name,host_url
1125067,1,Chiara,https://www.airbnb.com/users/show/1125067
1167827,1,Tina,https://www.airbnb.com/users/show/1167827
1168814,1,Andrea,https://www.airbnb.com/users/show/1168814
1169561,3,Silverio,https://www.airbnb.com/users/show/1169561
1172010,1,Patrizia,https://www.airbnb.com/users/show/1172010
1181617,1,Marta,https://www.airbnb.com/users/show/1181617
1184498,1,Enrico,https://www.airbnb.com/users/show/1184498
1184644,21,Samuel & Paolo For Firenze Rentals®,https://www.airbnb.com/users/show/1184644
1206885,1,Mariam,https://www.airbnb.com/users/show/1206885
1214786,2,Irene,https://www.airbnb.com/users/show/1214786
1215999,2,Giovannella,https://www.airbnb.com/users/show/1215999
1224280,2,Enrico,https://www.airbnb.com/users/show/1224280
1241330,1,Luca,https://www.airbnb.com/users/show/1241330
1250315,4,Simone,https://www.airbnb.com/users/show/1250315
1259443,2,Arianna,https://www.airbnb.com/users/show/1259443
1269265,4,Lorenzo,https://www.airbnb.com/users/show/1269265
1302596,1,Rita,https://www.airbnb.com/users/show/1302596
1312711,1,Francesco,https://www.airbnb.com/users/show/1312711
1312791,1,Massimo,https://www.airbnb.com/users/show/1312791
1319735,1,Yunsun,https://www.airbnb.com/users/show/1319735
1339138,1,Eva,https://www.airbnb.com/users/show/1339138
1340797,2,Bitte,https://www.airbnb.com/users/show/1340797
1341126,1,Nicole,https://www.airbnb.com/users/show/1341126
1342443,1,Enrico,https://www.airbnb.com/users/show/1342443
1352615,2,Leonardo E Niccolò,https://www.airbnb.com/users/show/1352615
1366421,1,Flavio,https://www.airbnb.com/users/show/1366421
1366654,1,Gianluca,https://www.airbnb.com/users/show/1366654
1369058,9,Lorenzo,https://www.airbnb.com/users/show/1369058
1372403,1,Donatella,https://www.airbnb.com/users/show/1372403
1372461,4,Daniele,https://www.airbnb.com/users/show/1372461
1384542,1,Francesco,https://www.airbnb.com/users/show/1384542
1390015,1,Antonella,https://www.airbnb.com/users/show/1390015
1395761,1,Lapo,https://www.airbnb.com/users/show/1395761
1414775,2,Fernando,https://www.airbnb.com/users/show/1414775
1425302,1,Silvia,https://www.airbnb.com/users/show/1425302
1450696,9,ItalyPerfect,https://www.airbnb.com/users/show/1450696
1452829,1,Maria Gaia,https://www.airbnb.com/users/show/1452829
1466783,1,Gabriella,https://www.airbnb.com/users/show/1466783
1468173,3,Roberto,https://www.airbnb.com/users/show/1468173
1519484,1,Paola,https://www.airbnb.com/users/show/1519484
1525806,1,Giulia,https://www.airbnb.com/users/show/1525806
1526517,6,Andrea,https://www.airbnb.com/users/show/1526517
1527944,5,Giovanni,https://www.airbnb.com/users/show/1527944
1570918,1,Matteo,https://www.airbnb.com/users/show/1570918
1599109,2,Malika,https://www.airbnb.com/users/show/1599109
1609248,1,Stefania,https://www.airbnb.com/users/show/1609248
1631849,4,Alessandro,https://www.airbnb.com/users/show/1631849
1645859,23,David,https://www.airbnb.com/users/show/1645859
1669164,13,Patrizia,https://www.airbnb.com/users/show/1669164
1672678,1,Alessandra,https://www.airbnb.com/users/show/1672678
1702993,7,Marusca,https://www.airbnb.com/users/show/1702993
1724292,1,Mauro,https://www.airbnb.com/users/show/1724292
1734679,1,Susanna,https://www.airbnb.com/users/show/1734679
1738952,2,Manfredi,https://www.airbnb.com/users/show/1738952
1744286,1,Chiara,https://www.airbnb.com/users/show/1744286
1753956,1,Tommaso,https://www.airbnb.com/users/show/1753956
1755313,5,Simone,https://www.airbnb.com/users/show/1755313
1755602,2,Tiziana,https://www.airbnb.com/users/show/1755602
1759485,1,Filippo,https://www.airbnb.com/users/show/1759485
1778421,2,Guido,https://www.airbnb.com/users/show/1778421
1780007,2,Roberta & Stefano,https://www.airbnb.com/users/show/1780007
1780401,1,Lori,https://www.airbnb.com/users/show/1780401
1792856,6,Ulrika,https://www.airbnb.com/users/show/1792856
1811165,2,Antonella,https://www.airbnb.com/users/show/1811165
1819422,1,Francesco,https://www.airbnb.com/users/show/1819422
1820348,1,Caterina,https://www.airbnb.com/users/show/1820348
1854501,1,Nadim,https://www.airbnb.com/users/show/1854501
1863361,1,Stefano,https://www.airbnb.com/users/show/1863361
1888670,1,Alex,https://www.airbnb.com/users/show/1888670
1900611,1,Paola Caterina,https://www.airbnb.com/users/show/1900611
1906603,1,Niccolò,https://www.airbnb.com/users/show/1906603
1931126,1,Cesare,https://www.airbnb.com/users/show/1931126
1932433,3,Ricchi,https://www.airbnb.com/users/show/1932433
1935411,1,Chiara,https://www.airbnb.com/users/show/1935411
1937715,1,Anna,https://www.airbnb.com/users/show/1937715
1973598,1,Laura,https://www.airbnb.com/users/show/1973598
1974968,1,Itinere Villas,https://www.airbnb.com/users/show/1974968
1993066,1,Flavio,https://www.airbnb.com/users/show/1993066
1998087,1,Fiorenza,https://www.airbnb.com/users/show/1998087
1998112,5,Giuseppe,https://www.airbnb.com/users/show/1998112
2012253,1,Filippo,https://www.airbnb.com/users/show/2012253
2037263,1,Francesca,https://www.airbnb.com/users/show/2037263
2057721,1,Francesca,https://www.airbnb.com/users/show/2057721
2060056,1,Nazret,https://www.airbnb.com/users/show/2060056
2067078,1,Silvia,https://www.airbnb.com/users/show/2067078
2088209,1,Giulietta,https://www.airbnb.com/users/show/2088209
2089287,2,Simone,https://www.airbnb.com/users/show/2089287
2102208,1,Marie-Claire,https://www.airbnb.com/users/show/2102208
2106321,1,Chiara,https://www.airbnb.com/users/show/2106321
2107675,1,Laura,https://www.airbnb.com/users/show/2107675
2110160,3,Guia,https://www.airbnb.com/users/show/2110160
2136630,1,Mariella,https://www.airbnb.com/users/show/2136630
2151483,1,Sibilla,https://www.airbnb.com/users/show/2151483
2171320,1,Riccardo,https://www.airbnb.com/users/show/2171320
2193895,1,Paola,https://www.airbnb.com/users/show/2193895
2195929,3,Francesco,https://www.airbnb.com/users/show/2195929
2209493,1,Pierpaolo,https://www.airbnb.com/users/show/2209493
2235238,1,Serena,https://www.airbnb.com/users/show/2235238
2241893,1,Monia,https://www.airbnb.com/users/show/2241893
2242537,2,Giuditta,https://www.airbnb.com/users/show/2242537
2265459,1,Roberta,https://www.airbnb.com/users/show/2265459
2272298,4,Alessandra,https://www.airbnb.com/users/show/2272298
2272750,5,Francesca,https://www.airbnb.com/users/show/2272750
2273159,1,Vincenzo,https://www.airbnb.com/users/show/2273159
2280079,1,Anna,https://www.airbnb.com/users/show/2280079
2281698,1,Remo,https://www.airbnb.com/users/show/2281698
2289065,1,Lorenzo,https://www.airbnb.com/users/show/2289065
2296060,1,Sara,https://www.airbnb.com/users/show/2296060
2297709,2,Elena,https://www.airbnb.com/users/show/2297709
2297904,8,Tommaso,https://www.airbnb.com/users/show/2297904
2329953,1,Giulia,https://www.airbnb.com/users/show/2329953
2345144,1,Maurizio,https://www.airbnb.com/users/show/2345144
2358649,1,Francesca E Bruno,https://www.airbnb.com/users/show/2358649
2377476,10,Clara E Carlo,https://www.airbnb.com/users/show/2377476
2382129,4,Raimondo,https://www.airbnb.com/users/show/2382129
2388591,1,Luca,https://www.airbnb.com/users/show/2388591
2403819,3,Francesco,https://www.airbnb.com/users/show/2403819
2415507,1,Claudio,https://www.airbnb.com/users/show/2415507
2423376,1,Silvana,https://www.airbnb.com/users/show/2423376
2427585,2,Sara,https://www.airbnb.com/users/show/2427585
2428104,1,Elena,https://www.airbnb.com/users/show/2428104
2428440,2,Roberto,https://www.airbnb.com/users/show/2428440
2434209,1,Alexander,https://www.airbnb.com/users/show/2434209
2439076,9,Edo & Rita,https://www.airbnb.com/users/show/2439076
2445987,1,David Peter,https://www.airbnb.com/users/show/2445987
2456439,1,Andrea,https://www.airbnb.com/users/show/2456439
